"","Group","Citation","Count","Tool_Type","Material_Type","Usage","Temperature","LAT","LONG"
"15","Aleut","Innokentii,_Metropolitan_of_Moscow,_Saint,_Kolomna,_Rossiisko_amerikanskaia_kompaniia,_B._Keen,_and_Assya_Kardinelowska._1840._Notes_on_the_Islands_of_the_Unalaska_District._In_._St._Petersburg:_Russian_American_Company._https://ehrafworldcultures.yale.edu/cultures/na06/documents/001.",1,"needle","metal","Toolkit",-5.900000095,-161.633283,55.59836219
"16","Aleut","Veltre,_Douglas_William._2006._Culture_Summary:_Aleut._New_Haven,_Conn.:_HRAF._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=na06_000.",1,"needle","bone","Toolkit",-5.900000095,-161.633283,55.59836219
"17","Aleut","Laughlin,_William_S._1980._Aleuts,_Survivors_of_the_Bering_Land_Bridge._InCase_Studies_in_Cultural_Anthropology,_vii,_151._New_York:_Holt,_Rinehart,_and_Winston._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=na06_071.",1,"needle","bone","Clothing",-5.900000095,-161.633283,55.59836219
"18","Aleut","Laughlin,_William_S._1980._Aleuts,_Survivors_of_the_Bering_Land_Bridge._InCase_Studies_in_Cultural_Anthropology,_vii,_151._New_York:_Holt,_Rinehart,_and_Winston._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=na06_071.",1,"needle","bone","Shoes",-5.900000095,-161.633283,55.59836219
"19","Aleut","Pallas,_Peter_Simon,_and_James_R._(James_Raymond)_Masterson._1948._Berings_Successors,_1745_1780._In_._Seattle:_Univ._of_Washington_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/cultures/na06/documents/043.",1,"needle","bone","Clothing",-5.900000095,-161.633283,55.59836219
"20","Aleut","Hrdlicka,_Ales._1945._The_Aleutian_and_Commander_Islands_and_Their_Inhabitants._In_._Philadelphia:_Wistar_Institute_of_Anatomy_and_Biology._https://ehrafworldcultures.yale.edu/cultures/na06/documents/023.",1,"awl","bone","Toolkit",-5.900000095,-161.633283,55.59836219
"21","Aleut","Dall,_William_Healey._1880._Article_VI:_On_the_Remains_of_Later_Pre_Historic_Man_Obtained_from_Caves_in_the_Catherina_Archipelago,_Alaska_Territory,_and_Especially_from_the_Caves_of_the_Aleutian_Islands._InSmithsonian_Contributions_to_Knowledge,_21_22:35,_plates._Washington:_Smithsonian_Institution._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/cultures/na06/documents/039.",1,"awl","bone","Clothing",-5.900000095,-161.633283,55.59836219
"22","Aleut","Innokentii,_Metropolitan_of_Moscow,_Saint,_Kolomna,_Rossiisko_amerikanskaia_kompaniia,_B._Keen,_and_Assya_Kardinelowska._1840._Notes_on_the_Islands_of_the_Unalaska_District._In_._St._Petersburg:_Russian_American_Company._https://ehrafworldcultures.yale.edu/cultures/na06/documents/001.",1,"needle","bone","Toolkit",-5.900000095,-161.633283,55.59836219
"23","Aleut","Hrdlicka,_Ales._1945._The_Aleutian_and_Commander_Islands_and_Their_Inhabitants._In_._Philadelphia:_Wistar_Institute_of_Anatomy_and_Biology._https://ehrafworldcultures.yale.edu/cultures/na06/documents/023.",1,"awl","bone","Toolkit",-5.900000095,-161.633283,55.59836219
"24","Aleut","Quimby,_George_Irving._1944._Aleutian_Islanders:_Eskimos_of_the_North_Pacific._In_._Chicago_:_Chicago_Natural_History_Museum._https://ehrafworldcultures.yale.edu/cultures/na06/documents/060.",1,"awl","bone","Clothing",-5.900000095,-161.633283,55.59836219
"25","Aleut","Quimby,_George_Irving._1944._Aleutian_Islanders:_Eskimos_of_the_North_Pacific._In_._Chicago_:_Chicago_Natural_History_Museum._https://ehrafworldcultures.yale.edu/cultures/na06/documents/060.",1,"awl","bone","Bags",-5.900000095,-161.633283,55.59836219
"26","Aleut","Hrdlicka,_Ales._1945._The_Aleutian_and_Commander_Islands_and_Their_Inhabitants._In_._Philadelphia:_Wistar_Institute_of_Anatomy_and_Biology._https://ehrafworldcultures.yale.edu/cultures/na06/documents/023.",1,"needle","ivory","Toolkit",-5.900000095,-161.633283,55.59836219
"27","Aleut","Jochelson,_Waldemar._1925._Archaeological_Investigations_in_the_Aleutian_Islands._InPublication,_ix,_145._Washington:_Carnegie_Institution_of_Washington._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/cultures/na06/documents/010.",1,"needle","bone","Fishing",-5.900000095,-161.633283,55.59836219
"28","Aleut","Jochelson,_Waldemar._1925._Archaeological_Investigations_in_the_Aleutian_Islands._InPublication,_ix,_145._Washington:_Carnegie_Institution_of_Washington._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/cultures/na06/documents/010.",1,"needle","bone","Boat Covering",-5.900000095,-161.633283,55.59836219
"29","Aleut","Pallas,_Peter_Simon,_and_James_R._(James_Raymond)_Masterson._1948._Berings_Successors,_1745_1780._In_._Seattle:_Univ._of_Washington_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/cultures/na06/documents/043.",1,"needle","bone","Bedding",-5.900000095,-161.633283,55.59836219
"30","Aleut","Hrdlicka,_Ales._1945._The_Aleutian_and_Commander_Islands_and_Their_Inhabitants._In_._Philadelphia:_Wistar_Institute_of_Anatomy_and_Biology._https://ehrafworldcultures.yale.edu/cultures/na06/documents/023.",1,"awl","bone","Toolkit",-5.900000095,-161.633283,55.59836219
"31","Aleut","Jochelson,_Waldemar._1933._History,_Ethnology,_and_Anthropology_of_the_Aleut._InPublication,_v,_91._Washington:_Carnegie_institution_of_Washington._https://ehrafworldcultures.yale.edu/cultures/na06/documents/002.",1,"needle","unknown","Toolkit",-5.900000095,-161.633283,55.59836219
"32","Aleut","Sauer,_Martin._1802._An_Account_of_a_Geographical…_Expedition_to_…_Russia._In_._London:_s.n._._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/cultures/na06/documents/016.",1,"needle","bone","Clothing",-5.900000095,-161.633283,55.59836219
"33","Aleut","Lantis,_Margaret._1970._The_Aleut_Social_System:_1750_to_1810,_from_Early_Historical_Sources._InEthnohistory_in_Southwestern_Alaska_and_the_Southern_Yukon;_Method_and_Content_by_Robert_E._Ackerman_and_Others,_139_301._Lexington:_University_Press_of_Kentucky._https://ehrafworldcultures.yale.edu/document?id=na06_074.",1,"needle","bone","Clothing",-5.900000095,-161.633283,55.59836219
"34","Aleut","Laughlin,_William_S._1980._Aleuts,_Survivors_of_the_Bering_Land_Bridge._InCase_Studies_in_Cultural_Anthropology,_vii,_151._New_York:_Holt,_Rinehart,_and_Winston._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=na06_071.",1,"needle","unknown","Toolkit",-5.900000095,-161.633283,55.59836219
"35","Aleut","Laughlin,_William_S._1980._Aleuts,_Survivors_of_the_Bering_Land_Bridge._InCase_Studies_in_Cultural_Anthropology,_vii,_151._New_York:_Holt,_Rinehart,_and_Winston._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=na06_071.",1,"needle","unknown","Clothing",-5.900000095,-161.633283,55.59836219
"36","Aleut","Laughlin,_William_S._1980._Aleuts,_Survivors_of_the_Bering_Land_Bridge._InCase_Studies_in_Cultural_Anthropology,_vii,_151._New_York:_Holt,_Rinehart,_and_Winston._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=na06_071.",1,"needle","unknown","Boat Covering",-5.900000095,-161.633283,55.59836219
"37","Aleut","Jochelson,_Waldemar._1925._Archaeological_Investigations_in_the_Aleutian_Islands._InPublication,_ix,_145._Washington:_Carnegie_Institution_of_Washington._https://ehrafworldcultures.yale.edu/cultures/na06/documents/010.",1,"awl","bone","Toolkit",-5.900000095,-161.633283,55.59836219
"38","Aleut","Jochelson,_Waldemar._1933._History,_Ethnology,_and_Anthropology_of_the_Aleut._InPublication,_v,_91._Washington:_Carnegie_institution_of_Washington._https://ehrafworldcultures.yale.edu/cultures/na06/documents/002.",1,"needle","unknown","Gifts",-5.900000095,-161.633283,55.59836219
"39","Aleut","Jochelson,_Waldemar._1933._History,_Ethnology,_and_Anthropology_of_the_Aleut._InPublication,_v,_91._Washington:_Carnegie_institution_of_Washington._https://ehrafworldcultures.yale.edu/cultures/na06/documents/002.",1,"needle","unknown","Tattooing",-5.900000095,-161.633283,55.59836219
"40","Aleut","Coxe,_William._1804._Account_of_the_Russian_Discoveries_between_Asia_and_America._In_._London:_Cadell_and_Davies._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/cultures/na06/documents/004.",1,"needle","bone","Toolkit",-5.900000095,-161.633283,55.59836219
"41","Aleut","Pallas,_Peter_Simon,_and_James_R._(James_Raymond)_Masterson._1948._Berings_Successors,_1745_1780._In_._Seattle:_Univ._of_Washington_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/cultures/na06/documents/043.",1,"needle","bone","Clothing",-5.900000095,-161.633283,55.59836219
"42","Aleut","Jochelson,_Waldemar._1925._Archaeological_Investigations_in_the_Aleutian_Islands._InPublication,_ix,_145._Washington:_Carnegie_Institution_of_Washington._https://ehrafworldcultures.yale.edu/cultures/na06/documents/010.",1,"awl","bone","Art",-5.900000095,-161.633283,55.59836219
"43","Aleut","Lantis,_Margaret._1970._The_Aleut_Social_System:_1750_to_1810,_from_Early_Historical_Sources._InEthnohistory_in_Southwestern_Alaska_and_the_Southern_Yukon;_Method_and_Content_by_Robert_E._Ackerman_and_Others,_139_301._Lexington:_University_Press_of_Kentucky._https://ehrafworldcultures.yale.edu/document?id=na06_074.",1,"needle","bone","Mats",-5.900000095,-161.633283,55.59836219
"44","Aleut","Bank,_Ted._1953._Botanical_and_Ethnological_Studies_in_the_Aleutian_Islands:_II._Health_and_Medical_Lore_of_the_Aleuts.Papers_of_the_Michigan_Academy_of_Science,_Arts,_and_LettersVol._38:_415_32._https://ehrafworldcultures.yale.edu/document?id=na06_067.",1,"needle","bone","Medical",-5.900000095,-161.633283,55.59836219
"45","Aleut","Coxe,_William._1804._Account_of_the_Russian_Discoveries_between_Asia_and_America._In_._London:_Cadell_and_Davies._https://ehrafworldcultures.yale.edu/cultures/na06/documents/004.",1,"needle","unknown","Toolkit",-5.900000095,-161.633283,55.59836219
"46","Aleut","Jones,_Dorothy_Miriam._1976.Aleuts_in_Transition:_A_Comparison_of_Two_Villages._Seattle:_Published_for_the_Institute_of_Social,_Economic_and_Government_Research,_University_of_Alaska,_University_of_Washington_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=na06_073.",1,"needle","bone","Tattooing",-5.900000095,-161.633283,55.59836219
"47","Aleut","Hrdlicka,_Ales._1945._The_Aleutian_and_Commander_Islands_and_Their_Inhabitants._In_._Philadelphia:_Wistar_Institute_of_Anatomy_and_Biology._https://ehrafworldcultures.yale.edu/cultures/na06/documents/023.",1,"needle","bone","Toolkit",-5.900000095,-161.633283,55.59836219
"48","Aleut","Jochelson,_Waldemar._1925._Archaeological_Investigations_in_the_Aleutian_Islands._InPublication,_ix,_145._Washington:_Carnegie_Institution_of_Washington._https://ehrafworldcultures.yale.edu/cultures/na06/documents/010.",1,"awl","bone","Clothing",-5.900000095,-161.633283,55.59836219
"49","Aleut","Langsdorff,_G._H._von_(Georg_Heinrich)._1817._Voyages_and_Travels_in_Various_Parts_of_the_World,_during_the_Years_1803,_1804,_1805,_1806,_and_1807._In_._Carlisle_Pa._:_Printed_by_George_Phillips._https://ehrafworldcultures.yale.edu/cultures/na06/documents/009.",1,"needle","unknown","Boat Covering",-5.900000095,-161.633283,55.59836219
"50","Aleut","Cook,_James._1785._A_Voyage_to_the_Pacific_Ocean:_Undertaken,_by_the_Command_of_His_Majesty,_for_Making_Discoveries_in_the_Northern_Hemisphere._Performed_under_the_Direction_of_Captains_Cook,_Clerke,_and_Gore,_in_His_Majestys_Ships_the_Resolution_and_Discovery;_in_the_Years_1776,_1777,_1778,_1779,_and_1780_…._In_._London:_G._Nicol_and_T._Cadell._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/cultures/na06/documents/008.",1,"needle","bone","Baskets",-5.900000095,-161.633283,55.59836219
"51","Aleut","Coxe,_William._1804._Account_of_the_Russian_Discoveries_between_Asia_and_America._In_._London:_Cadell_and_Davies._https://ehrafworldcultures.yale.edu/cultures/na06/documents/004.",1,"needle","unknown","Tattooing",-5.900000095,-161.633283,55.59836219
"52","Aleut","Collins,_Henry_Bascom._1945._The_Islands_and_Their_People._InThe_Aleutian_Islands:_Their_People_and_Natural_History:_(With_Keys_for_the_Identification_of_the_Birds_and_Plants)_by_Henry_B._Collins,_Jr.,_Austin_H._Clark,_Egbert_H._Walker,_1_30._City_Of_Washington:_Smithsonian_Institution._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/cultures/na06/documents/025.",1,"needle","bone","Clothing",-5.900000095,-161.633283,55.59836219
"53","Aleut","Quimby,_George_Irving._1944._Aleutian_Islanders:_Eskimos_of_the_North_Pacific._In_._Chicago_:_Chicago_Natural_History_Museum._https://ehrafworldcultures.yale.edu/cultures/na06/documents/060.",1,"needle","bone","Bags",-5.900000095,-161.633283,55.59836219
"54","Aleut","Jochelson,_Waldemar._1933._History,_Ethnology,_and_Anthropology_of_the_Aleut._InPublication,_v,_91._Washington:_Carnegie_institution_of_Washington._https://ehrafworldcultures.yale.edu/cultures/na06/documents/002.",1,"awl","stone","Art",-5.900000095,-161.633283,55.59836219
"55","Aleut","Quimby,_George_Irving._1944._Aleutian_Islanders:_Eskimos_of_the_North_Pacific._In_._Chicago_:_Chicago_Natural_History_Museum._https://ehrafworldcultures.yale.edu/cultures/na06/documents/060.",1,"needle","bone","Clothing",-5.900000095,-161.633283,55.59836219
"56","Aleut","Pallas,_Peter_Simon,_and_James_R._(James_Raymond)_Masterson._1948._Berings_Successors,_1745_1780._In_._Seattle:_Univ._of_Washington_Press._https://ehrafworldcultures.yale.edu/cultures/na06/documents/043.",1,"needle","unknown","Tattooing",-5.900000095,-161.633283,55.59836219
"57","Aleut","Coxe,_William._1804._Account_of_the_Russian_Discoveries_between_Asia_and_America._In_._London:_Cadell_and_Davies._https://ehrafworldcultures.yale.edu/cultures/na06/documents/004.",1,"needle","unknown","Tattooing",-5.900000095,-161.633283,55.59836219
"58","Aleut","Quimby,_George_Irving._1944._Aleutian_Islanders:_Eskimos_of_the_North_Pacific._In_._Chicago_:_Chicago_Natural_History_Museum._https://ehrafworldcultures.yale.edu/cultures/na06/documents/060.",1,"needle","bone","Boat Covering",-5.900000095,-161.633283,55.59836219
"59","Aleut","Jochelson,_Waldemar._1925._Archaeological_Investigations_in_the_Aleutian_Islands._InPublication,_ix,_145._Washington:_Carnegie_Institution_of_Washington._https://ehrafworldcultures.yale.edu/cultures/na06/documents/010.",1,"needle","bone","Toolkit",-5.900000095,-161.633283,55.59836219
"60","Aleut","Pallas,_Peter_Simon,_and_James_R._(James_Raymond)_Masterson._1948._Berings_Successors,_1745_1780._In_._Seattle:_Univ._of_Washington_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/cultures/na06/documents/043.",1,"needle","bone","Mats",-5.900000095,-161.633283,55.59836219
"61","Aleut","Jones,_Dorothy_Miriam._1972.A_Study_of_Social_and_Economic_Problems_in_Unalaska,_an_Aleut_Village._Ann_Arbor,_Mich.:_University_Microfilms._https://ehrafworldcultures.yale.edu/document?id=na06_070.",1,"needle","unknown","Medical",-5.900000095,-161.633283,55.59836219
"62","Aleut","Jochelson,_Waldemar._1925._Archaeological_Investigations_in_the_Aleutian_Islands._InPublication,_ix,_145._Washington:_Carnegie_Institution_of_Washington._https://ehrafworldcultures.yale.edu/cultures/na06/documents/010.",1,"awl","bone","Toolkit",-5.900000095,-161.633283,55.59836219
"63","Aleut","Cook,_James._1785._A_Voyage_to_the_Pacific_Ocean:_Undertaken,_by_the_Command_of_His_Majesty,_for_Making_Discoveries_in_the_Northern_Hemisphere._Performed_under_the_Direction_of_Captains_Cook,_Clerke,_and_Gore,_in_His_Majestys_Ships_the_Resolution_and_Discovery;_in_the_Years_1776,_1777,_1778,_1779,_and_1780_…._In_._London:_G._Nicol_and_T._Cadell._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/cultures/na06/documents/008.",1,"needle","bone","Clothing",-5.900000095,-161.633283,55.59836219
"64","Aleut","Jochelson,_Waldemar._1925._Archaeological_Investigations_in_the_Aleutian_Islands._InPublication,_ix,_145._Washington:_Carnegie_Institution_of_Washington._https://ehrafworldcultures.yale.edu/cultures/na06/documents/010.",1,"awl","bone","Toolkit",-5.900000095,-161.633283,55.59836219
"65","Aleut","Cook,_James._1785._A_Voyage_to_the_Pacific_Ocean:_Undertaken,_by_the_Command_of_His_Majesty,_for_Making_Discoveries_in_the_Northern_Hemisphere._Performed_under_the_Direction_of_Captains_Cook,_Clerke,_and_Gore,_in_His_Majestys_Ships_the_Resolution_and_Discovery;_in_the_Years_1776,_1777,_1778,_1779,_and_1780_…._In_._London:_G._Nicol_and_T._Cadell._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/cultures/na06/documents/008.",1,"needle","bone","Mats",-5.900000095,-161.633283,55.59836219
"66","Aleut","Quimby,_George_Irving._1944._Aleutian_Islanders:_Eskimos_of_the_North_Pacific._In_._Chicago_:_Chicago_Natural_History_Museum._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/cultures/na06/documents/060.",1,"needle","bone","Toolkit",-5.900000095,-161.633283,55.59836219
"67","Aleut","Laughlin,_William_S._1980._Aleuts,_Survivors_of_the_Bering_Land_Bridge._InCase_Studies_in_Cultural_Anthropology,_vii,_151._New_York:_Holt,_Rinehart,_and_Winston._https://ehrafworldcultures.yale.edu/document?id=na06_071.",1,"awl","unknown","Toolkit",-5.900000095,-161.633283,55.59836219
"68","Aleut","Cook,_James._1785._A_Voyage_to_the_Pacific_Ocean:_Undertaken,_by_the_Command_of_His_Majesty,_for_Making_Discoveries_in_the_Northern_Hemisphere._Performed_under_the_Direction_of_Captains_Cook,_Clerke,_and_Gore,_in_His_Majestys_Ships_the_Resolution_and_Discovery;_in_the_Years_1776,_1777,_1778,_1779,_and_1780_…._In_._London:_G._Nicol_and_T._Cadell._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/cultures/na06/documents/008.",1,"needle","bone","Boat Covering",-5.900000095,-161.633283,55.59836219
"69","Aleut","Sarychev,_Gavriil_Andreevich._1806._Account_of_a_Voyage_of_Discovery_to_the_North_East_of_Siberia,_the_Frozen_Ocean,_and_the_North_East_Sea:_Volume_II._In_._London:_Printed_for_R._Phillips_by_J._G._Barnard._https://ehrafworldcultures.yale.edu/cultures/na06/documents/007.",1,"needle","unknown","Clothing",-5.900000095,-161.633283,55.59836219
"70","Aleut","Laughlin,_William_S._1980._Aleuts,_Survivors_of_the_Bering_Land_Bridge._InCase_Studies_in_Cultural_Anthropology,_vii,_151._New_York:_Holt,_Rinehart,_and_Winston._https://ehrafworldcultures.yale.edu/document?id=na06_071.",1,"awl","unknown","Toolkit",-5.900000095,-161.633283,55.59836219
"71","Aleut","Laughlin,_William_S._1980._Aleuts,_Survivors_of_the_Bering_Land_Bridge._InCase_Studies_in_Cultural_Anthropology,_vii,_151._New_York:_Holt,_Rinehart,_and_Winston._https://ehrafworldcultures.yale.edu/document?id=na06_071.",1,"awl","unknown","Toolkit",-5.900000095,-161.633283,55.59836219
"72","Aleut","Innokentii,_Metropolitan_of_Moscow,_Saint,_Kolomna,_Rossiisko_amerikanskaia_kompaniia,_B._Keen,_and_Assya_Kardinelowska._1840._Notes_on_the_Islands_of_the_Unalaska_District._In_._St._Petersburg:_Russian_American_Company._https://ehrafworldcultures.yale.edu/cultures/na06/documents/001.",1,"needle","unknown","Toolkit",-5.900000095,-161.633283,55.59836219
"73","Aleut","Laughlin,_William_S._1980._Aleuts,_Survivors_of_the_Bering_Land_Bridge._InCase_Studies_in_Cultural_Anthropology,_vii,_151._New_York:_Holt,_Rinehart,_and_Winston._https://ehrafworldcultures.yale.edu/document?id=na06_071.",1,"awl","bone","Clothing",-5.900000095,-161.633283,55.59836219
"74","Aleut","Sarychev,_Gavriil_Andreevich._1806._Account_of_a_Voyage_of_Discovery_to_the_North_East_of_Siberia,_the_Frozen_Ocean,_and_the_North_East_Sea:_Volume_II._In_._London:_Printed_for_R._Phillips_by_J._G._Barnard._https://ehrafworldcultures.yale.edu/cultures/na06/documents/007.",1,"needle","unknown","Handkerchiefs",-5.900000095,-161.633283,55.59836219
"75","Aleut","Laughlin,_William_S._1980._Aleuts,_Survivors_of_the_Bering_Land_Bridge._InCase_Studies_in_Cultural_Anthropology,_vii,_151._New_York:_Holt,_Rinehart,_and_Winston._https://ehrafworldcultures.yale.edu/document?id=na06_071.",1,"awl","bone","Boat Covering",-5.900000095,-161.633283,55.59836219
"76","Aleut","Jochelson,_Waldemar._1928._People_of_the_Foggy_Sea._InNatural_History,_Vol._28:413_24._New_York,_N.Y.:_American_Museum_of_Natural_History._https://ehrafworldcultures.yale.edu/cultures/na06/documents/042.",1,"awl","stone","Art",-5.900000095,-161.633283,55.59836219
"77","Aleut","18",0,NA,NA,NA,-5.900000095,-161.633283,55.59836219
"78","Aleut","19",0,NA,NA,NA,-5.900000095,-161.633283,55.59836219
"79","Aleut","20",0,NA,NA,NA,-5.900000095,-161.633283,55.59836219
"80","Aleut","21",0,NA,NA,NA,-5.900000095,-161.633283,55.59836219
"81","Aleut","22",0,NA,NA,NA,-5.900000095,-161.633283,55.59836219
"82","Aleut","23",0,NA,NA,NA,-5.900000095,-161.633283,55.59836219
"83","Aleut","24",0,NA,NA,NA,-5.900000095,-161.633283,55.59836219
"84","Aleut","25",0,NA,NA,NA,-5.900000095,-161.633283,55.59836219
"85","Aleut","26",0,NA,NA,NA,-5.900000095,-161.633283,55.59836219
"86","Aleut","27",0,NA,NA,NA,-5.900000095,-161.633283,55.59836219
"87","Aleut","28",0,NA,NA,NA,-5.900000095,-161.633283,55.59836219
"88","Aleut","29",0,NA,NA,NA,-5.900000095,-161.633283,55.59836219
"89","Aleut","30",0,NA,NA,NA,-5.900000095,-161.633283,55.59836219
"90","Aleut","31",0,NA,NA,NA,-5.900000095,-161.633283,55.59836219
"91","Aleut","32",0,NA,NA,NA,-5.900000095,-161.633283,55.59836219
"92","Aleut","33",0,NA,NA,NA,-5.900000095,-161.633283,55.59836219
"93","Aleut","34",0,NA,NA,NA,-5.900000095,-161.633283,55.59836219
"94","Aleut","35",0,NA,NA,NA,-5.900000095,-161.633283,55.59836219
"95","Aleut","36",0,NA,NA,NA,-5.900000095,-161.633283,55.59836219
"96","Aleut","37",0,NA,NA,NA,-5.900000095,-161.633283,55.59836219
"97","Aleut","38",0,NA,NA,NA,-5.900000095,-161.633283,55.59836219
"98","Aleut","39",0,NA,NA,NA,-5.900000095,-161.633283,55.59836219
"99","Aleut","40",0,NA,NA,NA,-5.900000095,-161.633283,55.59836219
