"","Group","Citation","Count","Tool_Type","Material_Type","Usage","Temperature","Therm_vs.Other"
"29","Ojibwa","Hilger,_M._Inez_(Mary_Inez)._1939.A_Social_Study_of_One_Hundred_Fifty_Chippewa_Indian_Families_of_the_White_Earth_Reservation_of_Minnesota._Washington,_D.C.:_The_Catholic_University_of_America_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ng06_012.",1,"awl","bone","Clothing",-21.39999962,"Thermoregulation"
"30","Ojibwa","Densmore,_Frances._1929._Chippewa_Customs._In_Bulletin,_xii,_209_,_plates._Washington:_U.S._Govt._print._off._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ng06_005.",1,"awl","bone","Gaming",-21.39999962,"Alternative"
"31","Ojibwa","Densmore,_Frances._1929._Chippewa_Customs._In_Bulletin,_xii,_209_,_plates._Washington:_U.S._Govt._print._off._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ng06_005.",1,"awl","bone","Boat Covering",-21.39999962,"Alternative"
"32","Ojibwa","Densmore,_Frances._1929._Chippewa_Customs._In_Bulletin,_xii,_209_,_plates._Washington:_U.S._Govt._print._off._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ng06_005.",1,"awl","bone","Mats",-21.39999962,"Thermoregulation"
"33","Ojibwa","Densmore,_Frances._1929._Chippewa_Customs._InBulletin,_xii,_209_,_plates._Washington:_U.S._Govt._print._off._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ng06_005.",1,"awl","bone","Clothing",-21.39999962,"Thermoregulation"
"34","Ojibwa","Densmore,_Frances._1929._Chippewa_Customs._InBulletin,_xii,_209_,_plates._Washington:_U.S._Govt._print._off._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ng06_005.",1,"awl","bone","Clothing",-21.39999962,"Thermoregulation"
"35","Ojibwa","Densmore,_Frances._1929._Chippewa_Customs._InBulletin,_xii,_209_,_plates._Washington:_U.S._Govt._print._off._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ng06_005.",1,"awl","bone","Blankets ",-21.39999962,"Thermoregulation"
"36","Ojibwa","Densmore,_Frances._1929._Chippewa_Customs._InBulletin,_xii,_209_,_plates._Washington:_U.S._Govt._print._off._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ng06_005.",1,"awl","bone","Shoes",-21.39999962,"Thermoregulation"
"37","Ojibwa","Densmore,_Frances._1929._Chippewa_Customs._InBulletin,_xii,_209_,_plates._Washington:_U.S._Govt._print._off._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ng06_005.",1,"awl","bone","Shelter",-21.39999962,"Thermoregulation"
"38","Slavey","Hickerson,_Harold._1988.The_Chippewa_and_Their_Neighbors:_A_Study_in_Ethnohistory._Prospect_Heights,_Ill.:_Waveland_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ng06_029.",1,"awl","bone","Clothing",-29.39999962,"Thermoregulation"
"39","Slavey","Honigmann,_John_Joseph._1946._Ethnography_and_Acculturation_of_the_Fort_Nelson_Slave._InYale_University_Publications_in_Anthropology,_169._New_Haven:_Pub._For_the_Dept._of_anthropology,_Yale_University,_Yale_University_Press?;_H._Milford,_Oxford_University_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nd14_003.",1,"awl","bone","Shelter",-29.39999962,"Thermoregulation"
"40","Slavey","Honigmann,_John_Joseph._1946._Ethnography_and_Acculturation_of_the_Fort_Nelson_Slave._InYale_University_Publications_in_Anthropology,_169._New_Haven:_Pub._For_the_Dept._of_anthropology,_Yale_University,_Yale_University_Press?;_H._Milford,_Oxford_University_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nd14_003.",1,"awl","bone","Clothing",-29.39999962,"Thermoregulation"
"41","Slavey","Honigmann,_John_Joseph._1946._Ethnography_and_Acculturation_of_the_Fort_Nelson_Slave._InYale_University_Publications_in_Anthropology,_169._New_Haven:_Pub._For_the_Dept._of_anthropology,_Yale_University,_Yale_University_Press?;_H._Milford,_Oxford_University_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nd14_003.",1,"awl","bone","Shoes",-29.39999962,"Thermoregulation"
"42","Slavey","Honigmann,_John_Joseph._1946._Ethnography_and_Acculturation_of_the_Fort_Nelson_Slave._InYale_University_Publications_in_Anthropology,_169._New_Haven:_Pub._For_the_Dept._of_anthropology,_Yale_University,_Yale_University_Press?;_H._Milford,_Oxford_University_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nd14_003.",1,"awl","bone","Birch Bark Vessels",-29.39999962,"Alternative"
"43","Cherokee","Mooney,_James._1982.Myths_of_the_Cherokee:_And_Sacred_Formulas_of_the_Cherokees._Nashville,_Tenn.:_C._Elder_Bookseller._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nn08_021.",1,"awl","bone","Fishing",-5.300000191,"Alternative"
"46","Huron/Wendat","Trigger,_Bruce_G._1969._The_Huron_Farmers_of_the_North._InCase_Studies_in_Cultural_Anthropology,_xii,_130._New_York:_Holt,_Rinehart_and_Winston._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ng05_004.",1,"awl","bone","Clothing",-12.80000019,"Thermoregulation"
"47","Huron/Wendat","Trigger,_Bruce_G._1969._The_Huron_Farmers_of_the_North._InCase_Studies_in_Cultural_Anthropology,_xii,_130._New_York:_Holt,_Rinehart_and_Winston._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ng05_004.",1,"awl","bone","Mats",-12.80000019,"Thermoregulation"
"48","Huron/Wendat","Trigger,_Bruce_G._1969._The_Huron_Farmers_of_the_North._InCase_Studies_in_Cultural_Anthropology,_xii,_130._New_York:_Holt,_Rinehart_and_Winston._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ng05_004.",1,"awl","bone","Baskets",-12.80000019,"Alternative"
"49","Huron/Wendat","Trigger,_Bruce_G._1969._The_Huron_Farmers_of_the_North._InCase_Studies_in_Cultural_Anthropology,_xii,_130._New_York:_Holt,_Rinehart_and_Winston._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ng05_004.",1,"awl","bone","Jewlery ",-12.80000019,"Alternative"
"50","Huron/Wendat","Trigger,_Bruce_G._1969._The_Huron_Farmers_of_the_North._InCase_Studies_in_Cultural_Anthropology,_xii,_130._New_York:_Holt,_Rinehart_and_Winston._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ng05_004.",1,"awl","bone","Fishing",-12.80000019,"Alternative"
"51","Huron/Wendat","Trigger,_Bruce_G._1969._The_Huron_Farmers_of_the_North._InCase_Studies_in_Cultural_Anthropology,_xii,_130._New_York:_Holt,_Rinehart_and_Winston._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ng05_004.",1,"awl","bone","Shelter",-12.80000019,"Thermoregulation"
"55","Huron/Wendat","Kinietz,_W._Vernon_(William_Vernon)._1940._Huron._InThe_Indians_of_the_Western_Great_Lakes_1615_1760,_iv_v,_1_160,_330_38._Ann_Arbor:_University_of_Michigan_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ng05_005.",1,"awl","bone","Piercing",-12.80000019,"Alternative"
"57","Iroquois","Fenton,_William_N._1953._The_Iroquois_Eagle_Dance_an_Offshoot_of_the_Calument_Dance._InBulletin,_vi,_324_,_plates._Washington,_D.C.:_Smithsonian_Institution._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nm09_029.",1,"awl","bone","Dance",-10.60000038,"Alternative"
"58","Iroquois","Fenton,_William_N._1953._The_Iroquois_Eagle_Dance_an_Offshoot_of_the_Calument_Dance._InBulletin,_vi,_324_,_plates._Washington,_D.C.:_Smithsonian_Institution._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nm09_029.",1,"awl","bone","Ceremony or Ritual",-10.60000038,"Alternative"
"59","Nuu Chah Nulth","Koppert,_Vincent_Aloysius._1930._Contributions_to_Clayoquot_Ethnology._InAnthropological_Series,_viii,_124._Washington,_D.C.:_Catholic_University_of_America._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ne11_011.",1,"awl","bone","Clothing",0,"Thermoregulation"
"60","Pomo","Barrett,_S._A._(Samuel_Alfred)._1952._Material_Aspects_of_Pomo_Culture._InBulletin_of_the_Public_Museum_of_the_City_of_Milwa,_2_v.,_507._Milwaukee,_Wis.:_Published_by_order_of_the_Board_of_Trustees._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ns18_023.",1,"awl","bone","Ceremony or Ritual",1.899999976,"Alternative"
"61","Pomo","Loeb,_Edwin_Meyer._1926._Pomo_Folkways._InPublications_in_American_Archaeology_and_Ethnology,_19:149_404_,_plates._Berkeley,_Calif.:_University_of_California_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ns18_003.",1,"awl","bone","Piercing",1.899999976,"Alternative"
"62","Pomo","Barrett,_S._A._(Samuel_Alfred)._1908._Pomo_Indian_Basketry._InPublications_in_American_Archaeology_and_Ethnology,_7:133_308_,_plates._Berkeley,_Calif.:_University_of_California_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ns18_006.",1,"awl","bone","Baskets",1.899999976,"Alternative"
"63","Tillamook","Seaburg,_William_R.,_and_Jay_Miller._1990._Tillamook._InHandbook_of_North_American_Indians._Northwest_Coast,_7:560_67._Washington,_D.C.:_Smithsonian_Institution?:_For_sale_by_the_Supt._of_Docs.,_U.S._G.P.O._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nr21_002.",1,"awl","bone","Baskets",2.099999905,"Alternative"
"64","Tlingit","De_Laguna,_Frederica._1960._The_Story_of_a_Tlingit_Community:_A_Problem_in_the_Relationship_between_Archaeological,_Ethnological_and_Historical_Methods._InBulletin,_x,_254_,_plates._Washington,_D.C.:_Smithsonian_Institution._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=na12_017.",1,"awl","bone","Clothing",-3.799999952,"Thermoregulation"
"65","Tlingit","De_Laguna,_Frederica._1960._The_Story_of_a_Tlingit_Community:_A_Problem_in_the_Relationship_between_Archaeological,_Ethnological_and_Historical_Methods._InBulletin,_x,_254_,_plates._Washington,_D.C.:_Smithsonian_Institution._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=na12_017.",1,"awl","bone","Shelter",-3.799999952,"Thermoregulation"
"66","Tubatulabal ","Voegelin,_Mrs._Erminie_Wheeler._1938._Tübatulabal_Ethnography._InAnthropological_Records,_1_90._Berkeley:_University_of_California_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ns22_001.",1,"awl","bone","Pressure Flaker/Flintknapping",0.100000001,"Alternative"
"67","Tubatulabal ","Voegelin,_Mrs._Erminie_Wheeler._1938._Tübatulabal_Ethnography._InAnthropological_Records,_1_90._Berkeley:_University_of_California_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ns22_001.",1,"awl","bone","Weapon",0.100000001,"Alternative"
"68","Tubatulabal ","Voegelin,_Mrs._Erminie_Wheeler._1938._Tübatulabal_Ethnography._InAnthropological_Records,_1_90._Berkeley:_University_of_California_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ns22_001.",1,"awl","unknown","Shoes",0.100000001,"Thermoregulation"
"69","Tubatulabal ","Voegelin,_Mrs._Erminie_Wheeler._1938._Tübatulabal_Ethnography._InAnthropological_Records,_1_90._Berkeley:_University_of_California_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ns22_001.",1,"awl","bone","Quivers",0.100000001,"Alternative"
"70","Tubatulabal ","Voegelin,_Mrs._Erminie_Wheeler._1938._Tübatulabal_Ethnography._InAnthropological_Records,_1_90._Berkeley:_University_of_California_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ns22_001.",1,"awl","bone","Bags",0.100000001,"Alternative"
"71","Tubatulabal ","Voegelin,_Mrs._Erminie_Wheeler._1938._Tübatulabal_Ethnography._InAnthropological_Records,_1_90._Berkeley:_University_of_California_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ns22_001.",1,"awl","bone","Pressure Flaker/Flintknapping",0.100000001,"Alternative"
"72","Yokuts","Spier,_Robert_F._G._1978._Foothill_Yokuts._InHandbook_of_North_American_Indians._California,_Vol._8:471_84._Washington,_D._C.:_Smithsonian_Institution?:_For_sale_by_the_Supt._of_Docs.,_U.S._G.P.O._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ns29_024.",1,"awl","bone","Baskets",-0.200000003,"Alternative"
"73","Yokuts","Powers,_Stephen._1877._The_Yokuts._InTribes_of_California,_369_92._Washington:_Govt._print._off._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ns29_007.",1,"awl","bone","Baskets",-0.200000003,"Alternative"
"74","Yokuts","Wallace,_William_James._1978._Northern_Valley_Yokuts._InHandbook_of_North_American_Indians._California,_Vol._8:462_70._Washington,_D._C.:_Smithsonian_Institution?:_For_sale_by_the_Supt._of_Docs.,_U.S._G.P.O._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ns29_023.",1,"awl","bone","Baskets",-0.200000003,"Alternative"
"76","Yuki","Kroeber,_A._L._(Alfred_Louis)._1932._Yuki_Myths.AnthroposVol._27:_905_39._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ns30_010.",1,"awl","bone","Baskets",-0.100000001,"Alternative"
"78","Yuki","Treganza,_Adan_Eduardo,_C._E._Smith,_and_W._D._Weymouth._1950._An_Archaeological_Survey_of_the_Yuki_Area._InAnthropological_Records,_v._12:112_24._Berkeley:_University_of_California_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ns30_016.",1,"awl","bone","Baskets",-0.100000001,"Alternative"
"82","Yuki","Foster,_George_McClelland._1944._A_Summary_of_Yuki_Culture._InAnthropological_Records,_v,_155_244._Berkeley:_University_of_California_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ns30_002.",1,"awl","bone","Clothing",-0.100000001,"Thermoregulation"
"83","Yuki","Foster,_George_McClelland._1944._A_Summary_of_Yuki_Culture._InAnthropological_Records,_v,_155_244._Berkeley:_University_of_California_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ns30_002.",1,"awl","bone","Baskets",-0.100000001,"Alternative"
"84","Yuki","Kroeber,_A._L._(Alfred_Louis)._1925._Handbook_of_the_Indians_of_California._InBulletin,_1_97_;_plates._Washington:_Government_Printing_Office._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ns31_009.",1,"awl","bone","Foodways",-0.100000001,"Alternative"
"87","Assiniboine","Denig,_Edwin_Thompson._1961._Of_the_Assiniboines._InFive_Indian_Tribes_of_the_Upper_Missouri?;_Sioux,_Arickaras,_Assiniboines,_Crees,_Crows,_Edited_and_with_an_Introd._by_John_C._Ewers,_63_98._Norman:_University_of_Oklahoma_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nf04_012.",1,"awl","bone","Clothing",-17.79999924,"Thermoregulation"
"88","Assiniboine","Denig,_Edwin_Thompson._1961._Of_the_Assiniboines._InFive_Indian_Tribes_of_the_Upper_Missouri?;_Sioux,_Arickaras,_Assiniboines,_Crees,_Crows,_Edited_and_with_an_Introd._by_John_C._Ewers,_63_98._Norman:_University_of_Oklahoma_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nf04_012.",1,"awl","bone","Saddles",-17.79999924,"Alternative"
"89","Assiniboine","Denig,_Edwin_Thompson._1961._Of_the_Assiniboines._InFive_Indian_Tribes_of_the_Upper_Missouri?;_Sioux,_Arickaras,_Assiniboines,_Crees,_Crows,_Edited_and_with_an_Introd._by_John_C._Ewers,_63_98._Norman:_University_of_Oklahoma_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nf04_012.",1,"awl","bone","Utensils",-17.79999924,"Alternative"
"90","Blackfoot","Ewers,_John_Canfield._1945._Blackfeet_Crafts._InIndian_Handcrafts,_66._Lawrence,_Kan.:_United_States_Indian_Service._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nf06_041.",1,"awl","bone","Clothing",-15.69999981,"Thermoregulation"
"91","Blackfoot","Ewers,_John_Canfield._1945._Blackfeet_Crafts._InIndian_Handcrafts,_66._Lawrence,_Kan.:_United_States_Indian_Service._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nf06_041.",1,"awl","bone","Clothing",-15.69999981,"Thermoregulation"
"92","Blackfoot","Ewers,_John_Canfield._1945._Blackfeet_Crafts._InIndian_Handcrafts,_66._Lawrence,_Kan.:_United_States_Indian_Service._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nf06_041.",1,"awl","bone","Clothing",-15.69999981,"Thermoregulation"
"93","Blackfoot","Ewers,_John_Canfield._1945._Blackfeet_Crafts._InIndian_Handcrafts,_66._Lawrence,_Kan.:_United_States_Indian_Service._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nf06_041.",1,"awl","bone","Beadwork",-15.69999981,"Alternative"
"94","Blackfoot","Ewers,_John_Canfield._1945._Blackfeet_Crafts._InIndian_Handcrafts,_66._Lawrence,_Kan.:_United_States_Indian_Service._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nf06_041.",1,"awl","bone","Quillwork ",-15.69999981,"Alternative"
"95","Blackfoot","Ewers,_John_Canfield._1945._Blackfeet_Crafts._InIndian_Handcrafts,_66._Lawrence,_Kan.:_United_States_Indian_Service._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nf06_041.",1,"awl","bone","Clothing",-15.69999981,"Thermoregulation"
"96","Blackfoot","Ewers,_John_Canfield._1945._Blackfeet_Crafts._InIndian_Handcrafts,_66._Lawrence,_Kan.:_United_States_Indian_Service._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nf06_041.",1,"awl","bone","Shelter",-15.69999981,"Thermoregulation"
"98","Blackfoot","Wallace,_Ernest,_and_E._Adamson_(Edward_Adamson)_Hoebel._1952._The_Comanches:_Lords_of_the_South_Plains._InCivilization_of_the_American_Indian_Series,_v._34:xviii,_381_,_16_plates._Norman:_University_of_Oklahoma_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=no06_003.",1,"awl","bone","Clothing",-15.69999981,"Thermoregulation"
"100","Crow","Lowie,_Robert_Harry._1935.The_Crow_Indians._New_York:_Farrar_and_Rinehart._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nq10_001.",1,"awl","bone","Ceremony or Ritual",-11.19999981,"Alternative"
"101","Crow","Lowie,_Robert_Harry._1935.The_Crow_Indians._New_York:_Farrar_and_Rinehart._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nq10_001.",1,"awl","bone","Dance",-11.19999981,"Alternative"
"102","Crow","Lowie,_Robert_Harry._1921._The_Sun_Dance_of_the_Crow_Indians._InAnthropological_Papers_of_the_American_Museum_of_Natural_History,_16:1_50._New_York:_The_Trustees_American_Museum_of_Natural_History._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nq10_006.",1,"awl","bone","Dance",-11.19999981,"Alternative"
"103","Crow","Lowie,_Robert_Harry._1921._The_Sun_Dance_of_the_Crow_Indians._InAnthropological_Papers_of_the_American_Museum_of_Natural_History,_16:1_50._New_York:_The_Trustees_American_Museum_of_Natural_History._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nq10_006.",1,"awl","bone","Ceremony or Ritual",-11.19999981,"Alternative"
"104","Klamath","Gatschet,_Albert_Samuel._1890._The_Klamath_Indians_of_Southwestern_Oregon._InContributions_to_North_American_Ethnology,_2:cvii,_711._Washington:_Govt._print._off._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nr10_007.",1,"awl","bone","Mythology",-5.900000095,"Alternative"
"105","Klamath","Spier,_Leslie._1930._Klamath_Ethnography._InPublications_in_American_Archaeology_and_Ethnology,_30:x,_338._Berkeley,_Calif.:_University_of_California_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nr10_001.",1,"awl","bone","Clothing",-5.900000095,"Thermoregulation"
"106","Klamath","Spier,_Leslie._1930._Klamath_Ethnography._InPublications_in_American_Archaeology_and_Ethnology,_30:x,_338._Berkeley,_Calif.:_University_of_California_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nr10_001.",1,"awl","bone","Shoes",-5.900000095,"Thermoregulation"
